País,Número departamento,Departamento,Provincia,Número municipio,Municipio,Circunscripción,Localidad,Recinto,Número Mesa,Código Mesa,Elección,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos,Estado acta
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Salon Multifuncional America,10177,100320127940022503,Presidente y Vicepresidente,232,104,3,1,0,41,9,26,2,3,189,5,9,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Salon Multifuncional America,10177,100320127940022503,Diputados Uninominales,232,65,1,8,4,29,12,0,6,13,138,55,10,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Salon Multifuncional America,10178,100320127940022504,Presidente y Vicepresidente,232,104,0,0,3,51,6,25,0,2,191,0,13,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Salon Multifuncional America,10178,100320127940022504,Diputados Uninominales,232,74,2,2,3,35,12,0,1,13,142,53,9,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Col. Don Bosco,10222,100320127940020201,Presidente y Vicepresidente,225,162,0,0,1,32,2,5,0,0,202,0,6,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 2,Sucre,Col. Don Bosco,10222,100320127940020201,Diputados Uninominales,225,131,1,0,2,24,21,0,5,2,186,18,4,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Col. Don Bosco,10223,100320127940020202,Presidente y Vicepresidente,232,158,1,0,0,28,2,3,0,0,192,2,6,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 2,Sucre,Col. Don Bosco,10223,100320127940020202,Diputados Uninominales,232,128,1,1,2,22,19,0,5,1,179,19,22,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. San Juanillo,10435,100320127940012301,Presidente y Vicepresidente,225,122,2,0,2,46,1,13,1,5,192,4,5,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. San Juanillo,10435,100320127940012301,Diputados Uninominales,225,83,4,2,4,38,9,0,6,13,159,36,6,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. San Juanillo,10436,100320127940012302,Presidente y Vicepresidente,228,129,0,1,0,35,1,19,1,3,186,3,3,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. San Juanillo,10436,100320127940012302,Diputados Uninominales,228,91,0,5,2,26,16,0,7,12,159,30,6,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. San Juanillo,10442,100320127940012308,Presidente y Vicepresidente,232,88,3,2,0,64,2,27,1,1,188,4,8,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. San Juanillo,10442,100320127940012308,Diputados Uninominales,232,64,2,4,3,45,7,0,5,19,149,43,8,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. La Recoleta,10705,100320127940011507,Presidente y Vicepresidente,233,132,0,1,0,51,4,10,0,0,198,3,13,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. La Recoleta,10705,100320127940011507,Diputados Uninominales,233,86,0,2,0,43,15,0,12,12,170,32,12,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. La Recoleta,10707,100320127940011509,Presidente y Vicepresidente,230,138,0,1,1,45,0,13,0,0,198,0,7,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. La Recoleta,10707,100320127940011509,Diputados Uninominales,230,91,2,2,5,36,17,0,9,9,171,31,3,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. La Recoleta,10709,100320127940011511,Presidente y Vicepresidente,225,138,0,0,1,32,4,5,0,4,184,2,8,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. La Recoleta,10709,100320127940011511,Diputados Uninominales,225,85,3,5,1,22,23,0,9,22,170,18,6,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Esc. La Recoleta,10710,100320127940011512,Presidente y Vicepresidente,232,146,1,0,1,37,5,9,2,3,204,0,3,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Esc. La Recoleta,10710,100320127940011512,Diputados Uninominales,232,83,1,0,1,30,24,0,15,20,174,29,4,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,,Sucre,Salon Multifuncional El Abra,10717,100320127940011601,Presidente y Vicepresidente,231,118,1,1,2,57,2,20,0,0,201,0,7,Computada
Bolivia,1,Chuquisaca,Oropeza,1,Sucre,Circunscripción Uninominal 1,Sucre,Salon Multifuncional El Abra,10717,100320127940011601,Diputados Uninominales,231,67,1,5,4,40,19,0,5,18,159,45,4,Computada
